,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Stim_Portfolio_Returns,USREC
1991-05-31,-0.018016499999999998,0.0365,-0.004,-0.0052,0.0047,-0.0011,-0.022716499999999997,0
1991-06-30,-0.01314499999999995,-0.0494,0.0013,0.0115,0.0042,0.0047,-0.01734499999999995,0
1991-07-31,0.0032725,0.0424,-0.0092,-0.0132,0.0049,0.0432,-0.0016275,0
1991-08-31,0.031915,0.0232,0.0158,-0.0078,0.0046,0.0157,0.027315,0
1991-09-30,0.0575205,-0.0159,0.0164,-0.0108,0.0046,0.0179,0.0529205,0
1991-10-31,-0.013658,0.0129,0.0081,-0.0047,0.0042,0.0306,-0.017858,0
1991-11-30,0.0038294999999999996,-0.0419,-0.005,-0.0189,0.0039,0.0114,-7.050000000000025e-05,0
1991-12-31,0.0357145,0.1084,-0.0224,-0.0417,0.0038,0.0819,0.031914500000000005,0
1992-01-31,0.10730649999999994,-0.0059,0.0846,0.0471,0.0034,-0.0249,0.10390649999999994,0
1992-02-29,-0.0620035,0.0109,0.0087,0.0647,0.0028,-0.0053,-0.0648035,0
1992-03-31,-0.0613755,-0.0266,-0.0104,0.0356,0.0034,-0.0029,-0.0647755,0
1992-04-30,0.0302655,0.0107,-0.0606,0.0434,0.0032,-0.0258,0.0270655,0
1992-05-31,-0.0230575,0.003,0.0041,0.0119,0.0028,0.0021,-0.025857500000000002,0
1992-06-30,-0.0215335,-0.0234,-0.0307,0.0324,0.0032,-0.0058,-0.024733500000000002,0
1992-07-31,0.103895,0.0377,-0.0047,-0.0056,0.0031,0.0156,0.100795,0
1992-08-31,-0.06546,-0.0238,-0.0013,-0.011,0.0026,-0.0051,-0.06806000000000001,0
1992-09-30,0.00537500000000005,0.0119,0.0054,-0.0026,0.0026,0.0149,0.00277500000000005,0
1992-10-31,-0.033635,0.0102,0.0209,-0.0198,0.0023,0.0248,-0.035934999999999995,0
1992-11-30,0.041336,0.0413,0.0376,-0.0135,0.0023,-0.0015,0.039036,0
1992-12-31,0.1183065,0.0153,0.0169,0.0262,0.0028,0.0431,0.1155065,0
1993-01-31,0.09979450000000001,0.0093,0.0189,0.0594,0.0023,0.0483,0.09749450000000001,0
1993-02-28,-0.010923,0.0012,-0.0348,0.0642,0.0022,0.0314,-0.013123000000000001,0
1993-03-31,0.03717599999999995,0.023,0.0024,0.0118,0.0025,0.0373,0.03467599999999995,0
1993-04-30,0.012343499999999999,-0.0305,-0.0067,0.0249,0.0024,0.0038,0.0099435,0
1993-05-31,0.059635499999999994,0.0289,0.0204,-0.0342,0.0022,0.0022,0.057435499999999994,0
1993-06-30,-0.068951,0.0031,-0.0029,0.0275,0.0025,0.0455,-0.071451,0
1993-07-31,0.008803499999999999,-0.0034,0.0096,0.0285,0.0024,0.0316,0.0064034999999999995,0
1993-08-31,-0.025420333333333302,0.0371,0.0013,0.0013,0.0025,0.0265,-0.0279203333333333,0
1993-09-30,0.06987366666666663,-0.0012,0.0304,-0.0031,0.0026,0.0337,0.06727366666666662,0
1993-10-31,0.04150225,0.0141,0.0203,-0.0276,0.0022,-0.0272,0.03930225,0
1993-11-30,-0.07709875,-0.0189,-0.0125,-0.0074,0.0025,-0.0474,-0.07959875,0
1993-12-31,-0.094343,0.0165,0.0123,0.0032,0.0023,0.0236,-0.09664299999999999,0
1994-01-31,0.04450659999999998,0.0287,0.0034,0.0115,0.0025,0.0,0.04200659999999998,0
1994-02-28,-0.0308918,-0.0255,0.028,-0.0154,0.0021,-0.003,-0.0329918,0
1994-03-31,-0.06715540000000002,-0.0478,-0.0108,0.016,0.0027,-0.0127,-0.06985540000000001,0
1994-04-30,-0.04883299999999998,0.0068,-0.0093,0.0166,0.0027,0.0039,-0.05153299999999998,0
1994-05-31,-0.0717914,0.0058,-0.0215,0.0067,0.0031,-0.0219,-0.07489140000000001,0
1994-06-30,-0.07931639999999998,-0.0303,-0.0041,0.0167,0.0031,-0.0087,-0.08241639999999999,0
1994-07-31,-0.06701339999999997,0.0282,-0.0181,0.0058,0.0028,0.0018,-0.06981339999999997,0
1994-08-31,0.07513599999999998,0.0401,0.0145,-0.0251,0.0037,0.0155,0.07143599999999999,0
1994-09-30,-0.00892680000000002,-0.0231,0.0314,-0.0189,0.0037,0.0131,-0.01262680000000002,0
1994-10-31,0.022109600000000007,0.0134,-0.0224,-0.0162,0.0038,0.0149,0.018309600000000006,0
1994-11-30,-0.038847,-0.0404,0.0025,-0.007,0.0037,-0.0018,-0.042547,0
1994-12-31,-0.058084999999999984,0.0086,0.0022,-0.0013,0.0044,0.0348,-0.062484999999999985,0
1995-01-31,-0.051181799999999986,0.018,-0.035,0.0257,0.0042,-0.0181,-0.05538179999999999,0
1995-02-28,0.04646575,0.0363,-0.0066,0.0108,0.004,-0.0039,0.04246575,0
1995-03-31,0.09021980000000002,0.0219,-0.0016,-0.0215,0.0046,0.0043,0.08561980000000002,0
1995-04-30,-0.039942200000000025,0.0211,-0.0049,0.0171,0.0044,0.0179,-0.044342200000000026,0
