,gvkey,iid,datadate,tic,trt1m,naics,sic
80621,1408,01,30/09/1987,BEAM.2,-3.8793,312140.0,2085.0
80622,1408,01,31/10/1987,BEAM.2,-22.5561,312140.0,2085.0
80623,1408,01,30/11/1987,BEAM.2,-12.61,312140.0,2085.0
80624,1408,01,31/12/1987,BEAM.2,19.4631,312140.0,2085.0
80625,1408,01,31/01/1988,BEAM.2,6.2921,312140.0,2085.0
80626,1408,01,29/02/1988,BEAM.2,-1.8717,312140.0,2085.0
80627,1408,01,31/03/1988,BEAM.2,-3.2698,312140.0,2085.0
80628,1408,01,30/04/1988,BEAM.2,0.1127,312140.0,2085.0
80629,1408,01,31/05/1988,BEAM.2,4.8433,312140.0,2085.0
80630,1408,01,30/06/1988,BEAM.2,5.7065,312140.0,2085.0
80631,1408,01,31/07/1988,BEAM.2,-1.6967,312140.0,2085.0
